Scotland's Census 2011 - National Records of Scotland,,,,,,,,,,,
Table CT_0210_2011 - Migration by age - 2001 Data Zones,,,,,,,,,,,
All people,,,,,,,,,,,
,,,,,,,,,,,
,,All people,Aged under 1,Lived at same address one year ago,Lived elsewhere one year ago; within the same Data Zone,Inflow,,,,Outflow (1),
,35 to 49,171,0,144,0,17,5,0,5,20,9
,50 to 64,140,0,133,0,2,4,1,0,4,2
,65 to 74,71,0,68,0,3,0,0,0,2,1
,75 and over,86,0,70,1,13,0,0,2,3,1
S01000038,All people,678,9,614,0,40,5,5,5,32,9
,0 to 15,91,9,66,0,11,0,3,2,3,0
,16 to 19,51,0,49,0,0,1,0,1,2,1
,20 to 24,38,0,34,0,3,1,0,0,8,0
,25 to 34,69,0,51,0,12,3,2,1,15,3
,35 to 49,142,0,134,0,7,0,0,1,3,2
,50 to 64,160,0,154,0,6,0,0,0,1,2
,65 to 74,78,0,78,0,0,0,0,0,0,0
,75 and over,49,0,48,0,1,0,0,0,0,1
S01000039,All people,902,8,737,1,113,19,4,20,62,52
,0 to 15,118,8,96,0,14,0,0,0,6,7
,16 to 19,62,0,41,0,12,4,0,5,4,2
,20 to 24,123,0,69,1,32,11,3,7,20,17
,25 to 34,139,0,96,0,37,2,0,4,21,9
,35 to 49,149,0,138,0,7,1,1,2,6,9
,50 to 64,139,0,132,0,4,1,0,2,2,8
,65 to 74,64,0,62,0,2,0,0,0,1,0
,75 and over,108,0,103,0,5,0,0,0,2,0
S01000040,All people,934,10,879,1,32,7,2,3,74,14
,0 to 15,165,10,149,0,4,2,0,0,13,2
,16 to 19,50,0,49,0,1,0,0,0,4,1
,20 to 24,60,0,50,0,8,1,0,1,15,2
,25 to 34,98,0,86,0,8,2,1,1,25,3
,35 to 49,224,0,211,0,9,2,1,1,10,5
,50 to 64,168,0,166,0,2,0,0,0,5,1
,65 to 74,95,0,95,0,0,0,0,0,1,0
,75 and over,74,0,73,1,0,0,0,0,1,0
S01000041,All people,831,8,766,0,38,8,1,10,37,23
,0 to 15,99,8,85,0,3,2,0,1,6,2
,16 to 19,30,0,30,0,0,0,0,0,2,2
,20 to 24,45,0,40,0,5,0,0,0,3,3
,25 to 34,83,0,61,0,12,4,0,6,14,5
,35 to 49,175,0,166,0,7,1,0,1,3,3
,50 to 64,177,0,167,0,7,0,1,2,2,7
,65 to 74,108,0,107,0,0,1,0,0,1,1
,75 and over,114,0,110,0,4,0,0,0,6,0
S01000042,All people,755,7,632,4,76,14,6,16,79,15
,0 to 15,84,7,68,0,6,1,0,2,6,0
,16 to 19,39,0,27,0,9,3,0,0,5,2
,20 to 24,96,0,58,1,20,6,5,6,23,4
,25 to 34,105,0,73,0,25,3,0,4,19,4
,35 to 49,135,0,120,3,7,1,0,4,14,5
,50 to 64,179,0,173,0,5,0,1,0,4,0
,65 to 74,64,0,62,0,2,0,0,0,2,0
,75 and over,53,0,51,0,2,0,0,0,6,0
S01000043,All people,896,8,669,4,93,59,14,49,98,52
,0 to 15,106,8,75,1,9,8,1,4,15,5
,16 to 19,44,0,32,0,3,6,0,3,5,1
,20 to 24,100,0,43,1,28,11,3,14,21,6
,25 to 34,203,0,130,1,27,20,6,19,35,19
,35 to 49,157,0,122,0,17,10,2,6,13,11
,50 to 64,129,0,118,0,6,2,2,1,6,7
,65 to 74,63,0,58,1,1,1,0,2,0,3
,75 and over,94,0,91,0,2,1,0,0,3,0
S01000044,All people,959,8,821,0,80,14,5,31,84,20
,0 to 15,148,8,125,0,9,0,0,6,15,0
,16 to 19,60,0,52,0,5,0,0,3,3,2
,20 to 24,130,0,86,0,26,8,4,6,12,7
,25 to 34,145,0,111,0,22,3,0,9,35,5
,35 to 49,165,0,147,0,8,3,0,7,8,5
,50 to 64,152,0,144,0,7,0,1,0,6,1
,65 to 74,66,0,66,0,0,0,0,0,3,0
,75 and over,93,0,90,0,3,0,0,0,2,0
S01000045,All people,569,8,531,0,16,7,1,6,26,12
,0 to 15,89,8,77,0,2,1,0,1,3,3
,16 to 19,24,0,24,0,0,0,0,0,2,2
,20 to 24,30,0,26,0,1,2,0,1,0,0
,25 to 34,41,0,30,0,10,1,0,0,7,1
,35 to 49,124,0,118,0,3,3,0,0,9,3
,50 to 64,127,0,122,0,0,0,1,4,3,3
,65 to 74,64,0,64,0,0,0,0,0,1,0
,75 and over,70,0,70,0,0,0,0,0,1,0
S01000046,All people,754,8,697,1,37,2,1,8,38,10
,0 to 15,116,8,96,0,9,1,0,2,6,0
,16 to 19,27,0,26,0,0,0,0,1,3,2
,20 to 24,24,0,20,0,4,0,0,0,7,0
,25 to 34,54,0,45,0,7,1,0,1,5,1
,35 to 49,157,0,146,0,9,0,0,2,10,4
,50 to 64,164,0,158,1,3,0,0,2,2,2
,65 to 74,112,0,108,0,3,0,1,0,0,1
,75 and over,100,0,98,0,2,0,0,0,5,0
S01000047,All people,807,6,604,0,105,41,20,31,87,18
,0 to 15,56,6,36,0,6,2,3,3,9,0
,16 to 19,22,0,8,0,7,5,0,2,0,0
,20 to 24,106,0,51,0,42,6,2,5,18,2
,25 to 34,177,0,118,0,26,11,9,13,30,10
,35 to 49,145,0,112,0,12,12,2,7,16,5
,50 to 64,142,0,125,0,7,5,4,1,6,1
,65 to 74,56,0,53,0,3,0,0,0,4,0
,75 and over,103,0,101,0,2,0,0,0,4,0
S01000048,All people,960,14,825,0,58,20,8,35,43,26
,0 to 15,135,14,105,0,10,2,1,3,5,1
,16 to 19,35,0,26,0,5,1,0,3,4,1
,20 to 24,50,0,30,0,7,3,2,8,8,4
,25 to 34,146,0,105,0,18,9,3,11,12,14
,35 to 49,220,0,194,0,13,5,1,7,9,2
,50 to 64,204,0,198,0,3,0,1,2,5,2
,65 to 74,68,0,67,0,0,0,0,1,0,1
,75 and over,102,0,100,0,2,0,0,0,0,1
S01000049,All people,747,11,671,0,41,13,4,7,30,13
,0 to 15,121,11,105,0,0,2,0,3,1,0
,16 to 19,26,0,23,0,1,1,0,1,1,1
,20 to 24,28,0,19,0,5,3,1,0,6,0
,25 to 34,70,0,49,0,18,2,0,1,10,6
,35 to 49,151,0,141,0,5,2,2,1,6,3
,50 to 64,170,0,160,0,6,2,1,1,2,2
,65 to 74,76,0,76,0,0,0,0,0,1,0
,75 and over,105,0,98,0,6,1,0,0,3,1
S01000050,All people,744,7,631,0,61,13,4,28,39,24
,0 to 15,100,7,78,0,5,0,0,10,6,7
,16 to 19,36,0,22,0,11,2,0,1,0,3
,20 to 24,36,0,18,0,11,5,1,1,6,3
,25 to 34,82,0,61,0,13,0,1,7,10,4
,35 to 49,155,0,137,0,10,3,1,4,11,6
,50 to 64,130,0,121,0,3,0,1,5,1,1
,65 to 74,80,0,80,0,0,0,0,0,1,0
,75 and over,125,0,114,0,8,3,0,0,4,0
S01000051,All people,797,6,751,2,26,4,7,1,44,6
,0 to 15,119,6,107,0,5,0,1,0,10,1
,16 to 19,24,0,24,0,0,0,0,0,1,1
,20 to 24,30,0,24,0,2,3,1,0,1,2
,25 to 34,54,0,48,0,6,0,0,0,7,1
,35 to 49,172,0,159,0,8,0,4,1,12,1
,50 to 64,161,0,156,0,3,1,1,0,0,0
,65 to 74,85,0,83,0,2,0,0,0,3,0
,75 and over,152,0,150,2,0,0,0,0,10,0
S01000052,All people,627,3,580,2,28,4,0,10,45,6
,0 to 15,138,3,120,1,8,2,0,4,7,3
,16 to 19,47,0,43,0,2,1,0,1,4,0
,20 to 24,36,0,29,1,4,1,0,1,7,1
,25 to 34,63,0,54,0,7,0,0,2,15,1
,35 to 49,127,0,119,0,6,0,0,2,5,1
,50 to 64,140,0,139,0,1,0,0,0,3,0
,65 to 74,46,0,46,0,0,0,0,0,1,0
,75 and over,30,0,30,0,0,0,0,0,3,0
S01000053,All people,"1,100",10,875,4,110,58,14,29,87,44
,0 to 15,122,10,102,0,3,5,1,1,16,4
,16 to 19,30,0,20,0,4,6,0,0,0,1
,20 to 24,85,0,42,0,26,12,3,2,12,3
,25 to 34,209,0,138,2,34,17,2,16,39,22
,35 to 49,230,0,193,0,14,14,5,4,17,7
,50 to 64,165,0,149,2,4,2,3,5,1,6
,65 to 74,79,0,74,0,5,0,0,0,0,1
,75 and over,180,0,157,0,20,2,0,1,2,0
S01000054,All people,801,15,686,0,71,22,4,3,50,18
,0 to 15,121,15,94,0,8,4,0,0,11,5
,16 to 19,19,0,19,0,0,0,0,0,4,2
,20 to 24,29,0,21,0,6,1,0,1,6,1
,25 to 34,82,0,49,0,24,4,4,1,7,0
,35 to 49,168,0,151,0,11,6,0,0,9,6
,50 to 64,139,0,127,0,8,3,0,1,4,2
,65 to 74,76,0,75,0,1,0,0,0,5,0
,75 and over,167,0,150,0,13,4,0,0,4,2
S01000055,All people,803,8,688,3,86,9,3,6,48,11
,0 to 15,153,8,127,1,16,0,0,1,10,4
,16 to 19,44,0,35,0,4,4,0,1,3,1
,20 to 24,71,0,54,2,12,1,0,2,6,1
,25 to 34,110,0,97,0,12,0,1,0,9,5
,35 to 49,156,0,141,0,10,3,1,1,8,0
,50 to 64,137,0,130,0,4,1,1,1,5,0
,65 to 74,50,0,44,0,6,0,0,0,1,0
,75 and over,82,0,60,0,22,0,0,0,6,0
S01000056,All people,"1,014",2,919,0,51,24,1,17,28,46
,0 to 15,206,2,170,0,21,7,0,6,2,6
